"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","Age","Sex","Race","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"58",3001,1,0,1,0.666666666666667,0.666666666666667,0.5,0.8,0.5,0.666666666666667,18,1,2,2,1,3,3,3,1,3,4,3,4,3,3,3,2,4,1,1,3,1,1,4,3,2,4,2,2,2,0.666666666666667,0.666666666666667
"59",3036,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.75,0.2,0.416666666666667,0.333333333333333,21,2,2,2,2,4,3,2,2,3,3,2,2,4,3,2,2,1,1,1,4,1,4,4,3,1,3,2,1,3,0.5,0.166666666666667
"60",3042,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.25,0.6,0.416666666666667,0.5,19,2,1,1,2,1,1,4,1,1,1,3,4,2,4,2,2,3,3,2,3,2,1,1,1,3,1,4,4,3,0.333333333333333,0.666666666666667
"61",3045,0.333333333333333,0.333333333333333,0,0,0,0.5,0,0.416666666666667,0.166666666666667,20,2,1,1,2,1,2,4,2,3,2,2,1,2,3,4,4,4,3,1,3,1,3,3,4,2,4,1,3,1,0.333333333333333,0
"62",3054,0.333333333333333,0,0,0,0,0.25,0,0.25,0.0833333333333333,18,2,1,2,2,3,4,3,2,4,1,4,2,2,1,1,1,2,3,1,3,2,1,3,4,2,3,3,3,3,0.166666666666667,0
"63",3092,1,1,1,1,1,1,1,0.916666666666667,1,18,2,7,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1
"64",3124,0,0,0,0,0,0,0,0.0833333333333333,0,18,2,4,1,1,1,3,3,3,3,3,3,4,1,4,1,4,4,2,4,1,2,2,2,3,2,4,1,1,2,0,0
"65",3137,1,1,1,0.666666666666667,0.666666666666667,1,1,0.75,0.916666666666667,18,2,1,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,3,3,4,2,3,3,4,4,4,4,4,4,1,0.833333333333333
"66",3163,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0,0.75,0.6,0.25,0.5,18,2,6,1,1,1,3,4,2,2,3,1,4,2,1,2,2,4,1,3,2,4,3,2,4,1,1,4,4,3,0.5,0.5
"67",3287,0,0.666666666666667,0,0,0.333333333333333,0.25,0,0.416666666666667,0.166666666666667,18,2,7,1,2,2,4,4,4,1,4,2,3,3,4,2,2,3,3,2,3,1,4,2,1,3,4,1,1,1,0.166666666666667,0.166666666666667
"68",3365,0,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.75,0.2,0.416666666666667,0.416666666666667,18,2,1,2,2,3,4,1,4,2,3,3,2,3,4,4,3,2,1,4,1,3,3,1,4,2,2,2,4,4,0.5,0.333333333333333
"69",3422,0,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.4,0.166666666666667,0.333333333333333,18,1,7,1,2,1,3,4,2,3,1,2,4,4,4,4,2,2,3,3,2,3,1,2,2,2,2,3,2,3,0,0.666666666666667
"70",3540,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.2,0.0833333333333333,0.25,19,1,1,1,2,2,3,3,3,2,4,2,3,1,2,1,4,4,4,4,1,3,4,4,2,1,2,1,3,4,0.166666666666667,0.333333333333333
"71",3613,0.666666666666667,1,1,1,1,0.75,1,0.833333333333333,0.916666666666667,18,1,1,2,1,4,2,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,1,4,1,1,2,1,1,1,0.833333333333333,1
"72",3703,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.6,0.666666666666667,0.5,18,2,2,1,2,1,1,1,2,4,3,1,2,2,4,3,2,2,2,3,4,3,4,3,4,4,4,1,2,4,0.5,0.5
"73",3704,0.666666666666667,0.666666666666667,1,1,1,1,0.6,0.666666666666667,0.833333333333333,19,2,2,2,1,4,2,2,1,2,2,2,3,1,4,3,1,3,4,4,4,4,4,4,1,1,2,1,1,3,0.833333333333333,0.833333333333333
"74",3716,0.333333333333333,0.333333333333333,0,0.666666666666667,0.333333333333333,0.75,0,0.0833333333333333,0.333333333333333,18,1,2,2,2,4,1,3,1,1,1,1,2,1,4,3,2,4,3,1,2,4,4,4,2,2,1,3,2,3,0.5,0.166666666666667
"75",3776,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.4,0.416666666666667,0.583333333333333,18,2,6,2,1,4,2,2,1,2,2,3,2,3,2,3,2,4,4,1,1,2,4,4,2,1,2,1,1,3,0.666666666666667,0.5
"76",3802,1,0.333333333333333,0.666666666666667,1,1,0.75,0.6,0.416666666666667,0.75,18,2,6,1,1,1,2,2,1,1,1,1,4,3,2,2,1,1,3,2,4,3,3,1,2,4,4,4,4,4,0.833333333333333,0.666666666666667
"77",4046,0,0,0.666666666666667,0.666666666666667,0,0.5,0.4,0.166666666666667,0.333333333333333,18,2,6,2,2,3,3,2,4,2,2,3,4,1,2,4,1,4,4,4,4,4,3,2,3,3,4,4,2,1,0.333333333333333,0.333333333333333
"78",4055,0.666666666666667,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.8,0.583333333333333,0.75,18,2,2,2,2,4,2,3,2,3,2,2,3,4,4,3,3,2,3,3,4,1,4,4,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"79",4070,1,1,1,1,1,1,1,0.75,1,18,1,1,2,2,4,2,1,2,2,2,2,3,3,4,3,3,3,4,4,2,4,4,4,1,1,1,1,1,1,1,1
"80",4102,0,0.333333333333333,1,0,0,0,0.8,0.333333333333333,0.333333333333333,18,1,6,2,2,4,1,1,1,4,1,3,3,4,2,2,3,3,1,1,4,3,2,2,2,1,1,1,1,2,0,0.666666666666667
"81",4105,1,1,1,1,1,1,1,0.666666666666667,1,18,2,1,2,1,3,3,2,2,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,3,2,2,2,1,1
"82",4161,1,0.333333333333333,1,0,0.333333333333333,0.25,1,0.166666666666667,0.583333333333333,19,2,5,1,2,1,3,2,3,1,3,2,1,2,1,1,2,2,4,2,2,1,3,2,3,4,3,4,4,4,0.5,0.666666666666667
"83",4182,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.5,0.4,0.0833333333333333,0.333333333333333,18,2,2,1,2,2,3,3,2,1,2,2,1,4,2,4,1,3,3,4,3,1,2,2,4,1,4,3,1,4,0.333333333333333,0.333333333333333
"84",4183,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.333333333333333,0.5,21,2,1,2,2,4,2,1,1,2,3,2,2,3,1,4,3,3,4,3,3,3,4,2,2,1,4,1,3,3,0.5,0.5
"85",4191,0.333333333333333,1,0.666666666666667,0,0.333333333333333,0.25,0.8,0.416666666666667,0.5,20,2,6,2,1,3,3,4,3,2,3,1,1,1,3,3,4,1,4,2,1,3,3,1,2,2,3,2,2,2,0.333333333333333,0.666666666666667
"86",4204,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.2,0.166666666666667,0.25,19,2,4,2,1,3,1,4,4,2,3,4,4,3,2,4,3,4,2,3,3,4,2,3,4,2,3,4,3,3,0.166666666666667,0.333333333333333
