ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_3j97pqk0sT7xaLk,18,2,1,1,4,3,2,1,2,1,4,2,3,3,2,1,3,1,3,1,3,3,3,4,2,4,3,4,2,2,2,2,4,2,3
R_1JUR4BgQm6F1vJO,18,2,1,1,4,3,2,1,2,1,4,2,4,2,2,4,3,3,1,2,4,3,1,1,4,4,4,2,4,1,1,1,1,1,2
R_2dtLt2iBDTjGs3E,18,2,1,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1
R_0BqtnsRvJo1v8L7,18,2,5,1,4,3,2,1,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,1,4,4,4,4,2,1,3,1,1,3,1
R_2zZUzFtejGVVe6h,18,2,2,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1,3,1,1,3
R_BRD1vni7l0lIORj,18,1,5,1,4,3,2,1,2,1,4,2,2,1,2,2,1,1,3,3,3,3,2,3,4,3,4,2,1,2,2,2,1,1,1
R_1BUXwmswZVlc7LB,19,2,6,1,4,3,2,1,2,1,4,2,2,2,2,1,4,3,3,3,3,3,1,1,2,4,4,4,3,1,1,2,1,1,1
R_r3h99HZb6OltDvr,19,2,1,1,4,3,2,1,2,1,4,2,1,1,2,2,1,3,3,3,1,3,1,4,4,4,4,4,4,1,2,2,2,3,3
R_2sSgpKdad9NUSUJ,18,2,1,1,4,3,2,1,2,1,4,2,2,1,2,2,2,3,3,2,3,3,3,1,4,4,2,4,4,1,1,4,1,1,1
R_Tow2et8riN0v3Tr,19,2,1,1,4,3,2,1,2,1,4,2,3,2,2,2,3,3,2,3,3,1,3,1,4,4,4,4,4,1,1,3,1,1,1
R_1gT3KU70wbNsIVa,18,2,2,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1
R_1j7VF1jb9yTqYYY,18,2,5,1,4,3,2,1,2,1,4,2,2,2,2,2,2,1,2,3,1,3,1,4,2,4,4,4,4,1,4,1,1,1,1
R_2WTFH5OxORCqJD0,20,2,1,1,4,3,2,1,2,1,4,2,3,2,3,3,2,2,3,2,3,2,2,4,2,4,4,4,4,1,1,1,3,3,4
R_r0HmVATwIpFRNIJ,21,2,2,1,4,3,2,1,2,1,4,2,4,2,2,2,4,2,4,3,2,3,3,2,4,4,3,4,4,3,3,4,3,3,3
R_2zUBcIsayD17G8m,19,2,2,1,4,3,2,1,2,1,4,2,2,3,2,2,2,3,3,3,3,3,1,4,4,4,1,4,3,3,1,2,1,3,4
R_2aQAQY5IXrDXAzI,17,1,7,1,4,3,2,1,2,1,4,2,2,4,4,4,2,1,3,2,4,1,1,1,1,3,4,3,3,3,1,2,3,3,1
